Vendor-ID#,Vendor,Company,Flavor Name,ATF-ID#
V-0103,Nomz,CAP,Concord Grape with Stevia,ATF-00074
V-0104,Bull City,CAP,Cookie Crumble,ATF-00075
V-0105,Nomz,CAP,Cookie Crumble,ATF-00075
V-0106,DIY eJuice,CAP,Cool Anise Bliss,ATF-00076
V-0107,Bull City,CAP,Cool Mint,ATF-00077
V-0108,DIY eJuice,CAP,Cool Mint,ATF-00077
V-0109,Nomz,CAP,Cool Mint,ATF-00077
V-0110,Bull City,CAP,Cranberry,ATF-00078
V-0111,DIY eJuice,CAP,Cranberry,ATF-00078
V-0112,Bull City,CAP,Creamy Vanilla,ATF-00079
V-0113,Nomz,CAP,Creamy Vanilla,ATF-00079
V-0114,Bull City,CAP,Creamy Yogurt,ATF-00080
V-0115,DIY eJuice,CAP,Creamy Yogurt,ATF-00080
V-0116,DIY eJuice,CAP,Creamy Yogurt V2,ATF-00081
V-0117,DIY eJuice,CAP,Crunchy Frosted Cookie,ATF-00083
V-0118,Bull City,CAP,Cucumber,ATF-00084
V-0119,DIY eJuice,CAP,Cucumber,ATF-00084
V-0120,Nomz,CAP,Cucumber,ATF-00084
V-0121,Bull City,CAP,Cup a Joe,ATF-00085
V-0122,DIY eJuice,CAP,Cup of Joe,ATF-00085
V-0123,DIY eJuice,CAP,Cup of Joe V2,ATF-00000
V-0124,Bull City,CAP,Custard Cake,ATF-00086
V-0125,DIY eJuice,CAP,Custard Cake,ATF-00086
V-0126,Nomz,CAP,Custard Cake,ATF-00086
V-0127,Bull City,CAP,Custard Cream,ATF-00087
V-0128,Nomz,CAP,Custard Cream,ATF-00087
V-0129,Bull City,CAP,Double Apple,ATF-00088
V-0130,DIY eJuice,CAP,Double Apple,ATF-00088
V-0131,Nomz,CAP,Double Apple,ATF-00088
V-0132,Bull City,CAP,Double Chocolate V2,ATF-00090
V-0133,DIY eJuice,CAP,Double Chocolate V2,ATF-00090
V-0134,Bull City,CAP,Double Watermelon,ATF-00091
V-0135,DIY eJuice,CAP,Double Watermelon,ATF-00091
V-0136,Bull City,CAP,Dragon Fruit,ATF-00092
V-0137,DIY eJuice,CAP,Dragon Fruit,ATF-00092
V-0138,Nomz,CAP,Dragonfruit,ATF-00092
V-0139,DIY eJuice,CAP,Espresso,ATF-00096
V-0140,Bull City,CAP,Extra Sweet,ATF-00097
V-0141,Nomz,CAP,Extra Sweet,ATF-00097
V-0142,DIY eJuice,CAP,Extreme Sweet,ATF-00097
V-0143,Bull City,CAP,Fizz Pop,ATF-00099
V-0144,DIY eJuice,CAP,Fizz Pop,ATF-00099
V-0145,Bull City,CAP,French Vanilla,ATF-00101
V-0146,DIY eJuice,CAP,French Vanilla,ATF-00101
V-0147,Nomz,CAP,French Vanilla,ATF-00101
V-0148,Bull City,CAP,French Vanilla V2,ATF-00102
V-0149,DIY eJuice,CAP,French Vanilla V2,ATF-00102
V-0150,Bull City,CAP,Fresh Guava,ATF-00103
V-0151,Nomz,CAP,Fresh Guava,ATF-00103
V-0152,Bull City,CAP,Fresh Pineapple,ATF-00104
V-0153,Nomz,CAP,Fresh Pineapple,ATF-00104
V-0154,DIY eJuice,CAP,Frosting,ATF-00106
V-0155,DIY eJuice,CAP,Fruit Circles,ATF-00107
V-0156,DIY eJuice,CAP,Fuji,ATF-00108
V-0157,Bull City,CAP,Fuji Apple,ATF-00108
V-0158,Nomz,CAP,Fuji Apple,ATF-00108
V-0159,Bull City,CAP,Funnel Cake,ATF-00109
V-0160,DIY eJuice,CAP,Funnel Cake,ATF-00109
V-0161,Bull City,CAP,Gingerbread,ATF-00110
V-0162,DIY eJuice,CAP,Gingerbread,ATF-00110
V-0163,Nomz,CAP,Gingerbread,ATF-00110
V-0164,DIY eJuice,CAP,Glazed Donuts,ATF-00111
V-0165,Bull City,CAP,Glazed Doughnut,ATF-00111
V-0166,Nomz,CAP,Glazed Doughnut,ATF-00111
V-0167,Bull City,CAP,Golden Butter,ATF-00112
V-0168,DIY eJuice,CAP,Golden Butter,ATF-00112
V-0169,Nomz,CAP,Golden Butter,ATF-00112
V-0170,Bull City,CAP,Golden Pineapple,ATF-00113
V-0171,DIY eJuice,CAP,Golden Pineapple,ATF-00113
V-0172,Nomz,CAP,Golden Pineapple,ATF-00113
V-0173,Bull City,CAP,Graham Cracker,ATF-00114
V-0174,DIY eJuice,CAP,Graham Cracker,ATF-00114
V-0175,Nomz,CAP,Graham Cracker,ATF-00114
V-0176,Bull City,CAP,Graham Cracker V2,ATF-00115
V-0177,DIY eJuice,CAP,Graham Cracker V2,ATF-00115
V-0178,Bull City,CAP,Grape,ATF-00116
V-0179,DIY eJuice,CAP,Grape,ATF-00116
V-0180,Bull City,CAP,Grape Candy,ATF-00117
V-0181,Bull City,CAP,Grapefruit,ATF-00118
V-0182,DIY eJuice,CAP,Grapefruit,ATF-00118
V-0183,Bull City,CAP,Greek Yogurt,ATF-00119
V-0184,DIY eJuice,CAP,Greek Yogurt,ATF-00119
V-0185,DIY eJuice,CAP,Greek Yogurt V2,ATF-00120
V-0186,Bull City,CAP,Green Apple,ATF-00121
V-0187,DIY eJuice,CAP,Green Apple,ATF-00121
V-0188,Bull City,CAP,Green Apple Hard Candy,ATF-00122
V-0189,DIY eJuice,CAP,Green Apple Hard Candy,ATF-00122
V-0190,Nomz,CAP,Green Apple Hard Candy,ATF-00122
V-0191,Bull City,CAP,Green Strawberry,ATF-00123
V-0192,Nomz,CAP,Green Strawberry,ATF-00123
V-0193,DIY eJuice,CAP,Grenadine,ATF-00124
V-0194,Bull City,CAP,Harvest Berry,ATF-00125
V-0195,DIY eJuice,CAP,Harvest Berry,ATF-00125
V-0196,Nomz,CAP,Harvest Berry,ATF-00125
V-0197,Bull City,CAP,Hazelnut V2,ATF-00127
V-0198,DIY eJuice,CAP,Hazelnut V2,ATF-00127
V-0199,Bull City,CAP,Hibiscus,ATF-00128
V-0200,DIY eJuice,CAP,Hibiscus,ATF-00128
V-0201,Nomz,CAP,Hibiscus,ATF-00128
V-0202,Bull City,CAP,Honeydew Melon,ATF-00130
V-0203,DIY eJuice,CAP,Honeydew Melon,ATF-00130
V-0204,Nomz,CAP,Honeydew Melon,ATF-00130
V-0205,DIY eJuice,CAP,Horchata,ATF-00131
V-0206,DIY eJuice,CAP,Hot Cocoa,ATF-00133
V-0207,Bull City,CAP,Indo Strawberry #1,ATF-00134
V-0208,Nomz,CAP,Indo Strawberry #2,ATF-00135
V-0209,DIY eJuice,CAP,Irish Cream,ATF-00136
V-0210,Bull City,CAP,Italian Lemon Sicily,ATF-00137
V-0211,Nomz,CAP,Italian Lemon Sicily,ATF-00137
V-0212,Bull City,CAP,Jelly Candy,ATF-00138
V-0213,DIY eJuice,CAP,Jelly Candy,ATF-00138
V-0214,Nomz,CAP,Jelly Candy,ATF-00138
V-0215,Bull City,CAP,Juicy Lemon,ATF-00140
V-0216,DIY eJuice,CAP,Juicy Lemon,ATF-00140
V-0217,Nomz,CAP,Juicy Lemon,ATF-00140
V-0218,Bull City,CAP,Juicy Orange,ATF-00141
V-0219,DIY eJuice,CAP,Juicy Orange,ATF-00141
V-0220,Nomz,CAP,Juicy Orange,ATF-00141
V-0221,Bull City,CAP,Juicy Peach,ATF-00142
V-0222,DIY eJuice,CAP,Juicy Peach,ATF-00142
V-0223,Nomz,CAP,Juicy Peach,ATF-00142
V-0224,DIY eJuice,CAP,Juicy Peach V2,ATF-00000
V-0225,Bull City,CAP,Kiwi,ATF-00144
V-0226,DIY eJuice,CAP,Kiwi,ATF-00144
V-0227,Bull City,CAP,Kiwi Strawberry W/Stevia,ATF-00145
V-0228,DIY eJuice,CAP,Kiwi Strawberry w/Stevia,ATF-00145
V-0229,Bull City,CAP,Lemon Drop,ATF-00146
V-0230,DIY eJuice,CAP,Lemon Drop,ATF-00146
V-0231,Bull City,CAP,Lemon Lime,ATF-00147
V-0232,DIY eJuice,CAP,Lemon Lime,ATF-00147
V-0233,Nomz,CAP,Lemon Lime,ATF-00147
V-0234,Bull City,CAP,Lemon Meringue Pie,ATF-00148
V-0235,DIY eJuice,CAP,Lemon Meringue Pie,ATF-00148
V-0236,Nomz,CAP,Lemon Meringue Pie,ATF-00148
V-0237,Bull City,CAP,Lemon Meringue Pie V2,ATF-00149
V-0238,DIY eJuice,CAP,Lemon Meringue Pie V2,ATF-00149
V-0239,DIY eJuice,CAP,Lemon Meringue Pie V3,ATF-00000
V-0240,DIY eJuice,CAP,Lemon Sicily,ATF-00137
V-0241,DIY eJuice,CAP,Licorice,ATF-00150
V-0242,Bull City,CAP,Lime,ATF-00151
V-0243,DIY eJuice,CAP,Lime,ATF-00151
V-0244,Bull City,CAP,Luscious Strawberry,ATF-00152
V-0245,DIY eJuice,CAP,Maple (Pancake Syrup),ATF-00153
V-0246,Bull City,CAP,Maqui Berry Wild Jam,ATF-00154
V-0247,Nomz,CAP,Maqui Berry Wild Jam,ATF-00154
V-0248,Bull City,CAP,Marshmallow,ATF-00155
V-0249,DIY eJuice,CAP,Marshmallow,ATF-00155
V-0250,Bull City,CAP,Menthol,ATF-00157
V-0251,DIY eJuice,CAP,Menthol,ATF-00157
V-0252,DIY eJuice,CAP,Meringue,ATF-00158
V-0253,Bull City,CAP,Milkshake,ATF-00160
V-0254,DIY eJuice,CAP,Milkshake,ATF-00160
V-0255,Nomz,CAP,Milkshake,ATF-00160
V-0256,DIY eJuice,CAP,Mixed Berry,ATF-00161
V-0257,Bull City,CAP,New York Cheesecake,ATF-00163
V-0258,DIY eJuice,CAP,New York Cheesecake,ATF-00163
V-0259,Nomz,CAP,New York Cheesecake,ATF-00163
V-0260,DIY eJuice,CAP,New York Cheesecake V2,ATF-00164
V-0261,DIY eJuice,CAP,Nut Muffin,ATF-00165
V-0262,Bull City,CAP,NY Cheesecake V2,ATF-00164
V-0263,Bull City,CAP,Orange Creamsicle,ATF-00166
V-0264,DIY eJuice,CAP,Orange Creamsicle,ATF-00166
V-0265,Bull City,CAP,Orange Mango W/Stevia,ATF-00167
V-0266,DIY eJuice,CAP,Orange Mango w/Stevia,ATF-00167
V-0267,DIY eJuice,CAP,Original Blend,ATF-00168
V-0268,DIY eJuice,CAP,Passion Fruit,ATF-00169
V-0269,Bull City,CAP,Passionfruit,ATF-00169
V-0270,DIY eJuice,CAP,Peach w/Stevia,ATF-00171
V-0271,Bull City,CAP,Peaches and Cream,ATF-00172
V-0272,DIY eJuice,CAP,Peaches and Cream,ATF-00172
V-0273,DIY eJuice,CAP,Peaches and Cream V2,ATF-00173
V-0274,Bull City,CAP,Peanut Butter,ATF-00174
V-0275,DIY eJuice,CAP,Peanut Butter,ATF-00174
V-0276,Nomz,CAP,Peanut Butter,ATF-00174
V-0277,Bull City,CAP,Peanut Butter V2,ATF-00175
V-0278,DIY eJuice,CAP,Peanut Butter V2,ATF-00175
V-0279,Nomz,CAP,Peanut Butter V2,ATF-00175
V-0280,DIY eJuice,CAP,Pear,ATF-00176
V-0281,Bull City,CAP,Peppermint,ATF-00177
V-0282,DIY eJuice,CAP,Peppermint,ATF-00177
V-0283,Bull City,CAP,Perfect Vanilla Cupcake,ATF-00178
V-0284,Nomz,CAP,Perfect Vanilla Cupcake,ATF-00178
V-0285,Bull City,CAP,Pina Colada V2,ATF-00180
V-0286,DIY eJuice,CAP,Pina Colada V2,ATF-00180
V-0287,Bull City,CAP,Pink Lemonade,ATF-00181
V-0288,DIY eJuice,CAP,Pink Lemonade,ATF-00181
V-0289,DIY eJuice,CAP,Pink Punch,ATF-00182
V-0290,Bull City,CAP,Pomegranate V2,ATF-00184
V-0291,DIY eJuice,CAP,Pomegranate V2,ATF-00184
V-0292,DIY eJuice,CAP,Popcorn V2,ATF-00186
V-0293,Bull City,CAP,Powerful Sour,ATF-00187
V-0294,DIY eJuice,CAP,Powerful Sour,ATF-00187
V-0295,DIY eJuice,CAP,Pralines and Cream,ATF-00188
V-0296,DIY eJuice,CAP,Rainbow Candy,ATF-00190
V-0297,Bull City,CAP,Raspberry,ATF-00191
V-0298,DIY eJuice,CAP,Raspberry,ATF-00191
V-0299,Nomz,CAP,Raspberry,ATF-00191
V-0300,Bull City,CAP,Raspberry V2,ATF-00192
V-0301,DIY eJuice,CAP,Raspberry V2,ATF-00192
V-0302,Nomz,CAP,Raspberry V2,ATF-00192
V-0303,DIY eJuice,CAP,RF Energy Drink,ATF-00095
V-0304,DIY eJuice,CAP,RF Sweet Strawberry,ATF-00224
V-0305,DIY eJuice,CAP,RF Sweet Tangerine,ATF-00226
V-0306,DIY eJuice,CAP,Rhubarb,ATF-00193
V-0307,Nomz,CAP,Rhubarb,ATF-00193
V-0308,Bull City,CAP,Ripe Strawberries,ATF-00194
V-0309,DIY eJuice,CAP,Ripe Strawberries,ATF-00194
V-0310,Nomz,CAP,Ripe Strawberries,ATF-00194
V-0311,Bull City,CAP,Root Beer,ATF-00195
V-0312,DIY eJuice,CAP,Root Beer,ATF-00195
V-0313,Bull City,CAP,Shisha Raspberry,ATF-00196
V-0314,Nomz,CAP,Shisha Raspberry,ATF-00196
V-0315,Bull City,CAP,Shisha Strawberry,ATF-00197
V-0316,Nomz,CAP,Shisha Strawberry,ATF-00197
V-0317,Nomz,CAP,Shisha Vanilla,ATF-00198
V-0318,DIY eJuice,CAP,Shortbread,ATF-00199
V-0319,Nomz,CAP,Shortbread,ATF-00199
V-0320,Bull City,CAP,Simply Vanilla,ATF-00200
V-0321,DIY eJuice,CAP,Simply Vanilla,ATF-00200
V-0322,DIY eJuice,CAP,Smokey Blend,ATF-00201
V-0323,Bull City,CAP,Smooth Custard,ATF-00202
V-0324,Nomz,CAP,Smooth Custard,ATF-00202
V-0325,Bull City,CAP,Sour Blue Raspberry,ATF-00204
V-0326,Bull City,CAP,Spearmint,ATF-00205
V-0327,DIY eJuice,CAP,Spearmint,ATF-00205
V-0328,Nomz,CAP,Spearmint,ATF-00205
V-0329,Bull City,CAP,Sticky Bun,ATF-00206
V-0330,Nomz,CAP,Sticky Bun,ATF-00206
V-0331,Bull City,CAP,Strawberries and Cream,ATF-00207
V-0332,DIY eJuice,CAP,Strawberries and Cream,ATF-00207
V-0333,Bull City,CAP,Strawberry Bubblegum,ATF-00208
V-0334,Nomz,CAP,Strawberry Bubblegum,ATF-00208
V-0335,Bull City,CAP,Strawberry Taffy,ATF-00209
V-0336,DIY eJuice,CAP,Strawberry Taffy,ATF-00209
V-0337,Nomz,CAP,Strawberry Taffy,ATF-00209
V-0338,Bull City,CAP,Succulent Watermelon,ATF-00210
V-0339,Nomz,CAP,Succulent Watermelon,ATF-00210
